Final,158
安排,158
互動,157
扎實,157
哲學,157
沒什麼,157
黑板,157
擔心,157
不管,156
大致,156
會考,156
幾次,156
一堂,155
深入,155
公式,155
規定,155
發表,154
即可,154
自行,153
本學期,153
發言,152
標準,151
法律系,151
學校,151
各組,151
po,151
過去,150
技巧,150
多少,150
平時,150
完成,149
句子,149
計算題,149
實務,149
講的,149
CEIBA,149
上傳,149
高中,148
同時,147
進入,147
分配,147
請假,147
處理,146
課後,146
意見,146
可惜,146
還要,146
網站,145
時會,145
邏輯,145
空間,145
還沒,145
確定,144
這部分,144
而言,144
沒關係,144
這本,143
是從,143
大學,143
之外,143
氣氛,143
大二,142
變成,142
會先,141
會給,141
活動,140
旁聽,140
調整,140
操作,140
同學們,140
學期成績,139
想學,139
開心,139
統一,138
盡量,138
加分,137
放在,137
部份,137
根據,136
例子,134
單元,134
中國,134
提問,133
制度,133
鼓勵,133
機率,133
很棒,133
很難,133
講授,132
一點點,132
變化,131
架構,131
作品,131
生物,131
剩下,130
一位,130
作者,130
第二,130
聽課,129
細節,129
資訊,129
文字,129
一張,129
類似,128
比例,128
會點,128
額外,128
管理,128
以下,128
負責,128
掌握,128
壓力,127
配合,126
相對,126
模式,126
未來,125
還滿,125
課文,125
電路,125
此外,124
到底,124
人生,124
project,124
結構,124
依照,124
不想,123
模型,123
樣子,123
開放,123
提醒,122
意義,122
訓練,122
他們,122
自編,122
以外,121
以來,121
一周,120
一遍,120
大一,120
每組,120
朋友,120
政策,120
那個,119
還好,119
專題,119
很快,119
仔細,119
時事,118
性別,118
第一,118
觀點,118
技術,118
隨機,118
按照,118
第二次,118
運動,118
Chapter,118
寫出,117
順序,117
Analysis,117
名詞,117
發音,117
原理,116
無聊,116
繼續,116
忘記,116
看過,116
學長,116
總成績,115
Theory,115
負擔,115
方向,115
探討,115
by,114
辛苦,114
個案,114
利用,114
一年,114
反應,113
edition,113
或許,113
環境,113
實習課,113
之間,113
檢討,113
積分,113
手機,112
考慮,112
名詞解釋,112
那種,112
是不是,112
數學系,112
示範,112
而是,111
分別,111
延伸,111
寄信,111
國家,111
書面報告,111
怎樣,110
這裡,110
四次,110
教得,109
才能,109
一堆,109
經典,109
事先,109
問答題,109
課本上,109
實作,108
手寫,108
別人,108
作為,108
回去,108
句型,108
簡答題,108
刁難,108
翹課,108
案例,108
教材,108
ppt,107
沒來,107
太難,107
會上,107
總共,107
當週,107
唯一,107
表達,106
開學,106
讀書,106
評論,106
據說,106
名字,106
電機系,105
除非,105
國文,105
看看,105
反正,105
定義,104
會講,104
你們,104
簡介,104
平時成績,104
告訴,104
角度,104
中間,104
摘要,103
數字,103
限制,102
當天,102
目的,102
問答,102
分成,101
重複,101
paper,101
本人,101
豐富,101
組別,101
行為,101
紙本,101
剛好,100
參加,100
發問,100
晚上,100
接觸,100
態度,100
性質,100
小組討論,100
網路,100
感受,99
期初,99
URL,99
準時,99
選課,98
當作,98
政府,98
看起來,98
經濟系,98
讀本,97
透過,97
意思,97
課會,97
崩潰,97
運用,97
簡答,97
世界,96
熟悉,96
確實,96
現象,96
Midterm,96
發生,96
導論,96
傳統,95
口說,95
不太會,95
動詞,95
大考,94
XDDD,94
來修,94
心理學,94
被當,94
文獻,94
ed,94
電子,94
效果,93
材料,93
呈現,93
錯誤,93
大學部,93
耐心,92
學期末,92
聲音,92
來看,92
Exam,92
來講,92
脈絡,92
相信,92
睡覺,91
專業,91
製作,91
導致,91
親切,91
發球,91
很甜,91
嘗試,90
賽局,90
小心,90
舉手,90
講完,90
Project,90
理由,90
實際上,90
公司,89
函數,89
大量,89
正課,89
真正,89
總分,89
也許,89
突然,89
這點,89
聊天,89
討厭,89
實習,89
過的,88
痛苦,88
期待,88
日本語,88
哪些,88
加選,88
會發,88
敘述,88
新聞,87
講述,87
on,87
資源,87
第章,87
學好,87
Linear,87
哪裡,87
接著,87
深刻,86
來自,86
找到,86
在於,86
入門,86
大三,86
要來,86
美國,86
一顆,86
兩題,85
目前,85
原則上,85
觀察,84
條件,84
如此,84
研究所,84
撰寫,84
代表,83
曾經,83
好玩,83
概論,83
實例,83
否則,83
這邊,83
例題,83
思想,82
現代,82
穿插,82
大四,82
不大,82
關心,82
配分,82
次數,82
幫忙,82
正確,82
普通,81
不來,81
德文,81
上網,81
特殊,81
原則,81
課前,81
星期,80
專心,80
科學,80
去問,80
一班,80
講過,80
or,80
段落,80
熱力學,79
工具,79
練習題,79
教完,79
強者,79
一句,79
即使,79
結合,79
國際,79
進步,78
學說,78
體系,78
時代,78
自然,78
下次,78
刑法,78
theorem,78
總是,78
步調,78
去年,78
提早,77
互評,77
功能,77
如下,77
只會,77
是非題,77
企業,77
精神,77
見解,77
一節課,77
建立,77
聽不懂,76
改成,76
聽懂,76
慢慢,76
當初,76
字數,76
初級,75
輪流,75
挑戰,75
II,75
憲法,75
提示,75
差異,75
會問,75
OK,75
給予,75
解決,75
重新,74
補考,74
沒差,74
五顆星,74
課時,74
有分,74
樂意,74
口頭,74
政治系,74
第一週,74
連續,74
口試,74
相同,74
投資,74
之一,74
接下來,74
身體,73
反而,73
共同,73
生命,73
幽默,73
上述,73
需求,73
不斷,73
工作,72
loading,72
缺點,72
theory,72
規劃,72
厲害,72
presentation,72
書寫,72
來不及,72
顆星,72
上過,71
別的,71
規則,71
寫到,71
台下,71
作答,71
控制,71
固定,71
模擬,71
填空,71
一邊,71
final,70
兩位,70
體驗,70
人物,70
微分方程,70
兩週,70
那邊,70
講者,70
互相,70
課有,70
理想,70
複雜,70
微分,70
幹嘛,70
修改,69
更好,69
下面,69
有用,69
輔助,69
在意,69
判斷,69
筆試,69
普物,69
來學,69
課外,69
說法,69
綜合,69
給的,69
少數,69
整體而言,68
學者,68
學會,68
吸收,68
在講,68
好課,68
跟上,68
每學期,68
看不懂,68
時期,68
Ceiba,68
存在,68
評量,68
音樂,67
參訪,67
不知,67
韓文,67
退選,67
code,67
Design,67
回應,67
時常,66
校外,66
社會學,66
引導,66
中心,66
三節課,66
動物,66
於是,66
軟體,66
想到,66
當時,66
體會,65
經過,65
with,65
太差,65
Chap,65
單純,65
第一節,65
市場,65
充實,65
工程,65
進階,65
財金,65
接近,65
好看,65
TA,65
組織,65
登記,65
自我,64
學弟,64
演算法,64
兩堂,64
第十,64
台北,64
學院,64
語言學,64
階段,64
明顯,64
適應,64
嚴格,63
修習,63
說過,63
五題,63
他會,63
錄音,63
合作,63
點過,63
學來,63
最大,63
然而,63
有個,63
今天,63
記憶,63
乖乖,63
背後,63
科系,63
依據,63
線性代數,62
各個,62
批改,62
簡報,62
往往,62
增加,62
最高,62
要交,62
研究生,62
解題,62
臺灣,61
欣賞,61
令人,61
不太好,61
變數,61
選讀,61
估計,61
有加,61
幾堂,61
達到,61
培養,61
格式,61
哈哈,61
描述,61
這篇,61
熱忱,61
點到,61
必要,61
